Wavelength,(um),Normalized,RSF
0.5,0.0021,,
0.504,0.0012,,
0.508,0.0002,,
0.512,0.0017,,
0.516,-0.0002,,
0.52,0.0002,,
0.524,0.0005,,
0.528,-0.0007,,
0.532,0.0001,,
0.536,-0.0003,,
0.54,0.0004,,
0.544,-0.0002,,
0.548,-0.0003,,
0.552,-0.0001,,
0.556,-0.0001,,
0.56,-0.0001,,
0.564,0.0002,,
0.568,0,,
0.572,0,,
0.576,0,,
0.58,0.0001,,
0.584,-0.0002,,
0.588,0,,
0.592,0.0001,,
0.596,-0.0001,,
0.6,0,,
0.604,-0.0001,,
0.608,-0.0001,,
0.612,-0.0002,,
0.616,0.0001,,
0.62,0,,
0.624,0.0001,,
0.628,-0.0002,,
0.632,-0.0001,,
0.636,-0.0001,,
0.64,-0.0001,,
0.644,0,,
0.648,0.0001,,
0.652,0.0001,,
0.656,0.0001,,
0.66,-0.0001,,
0.664,-0.0002,,
0.668,-0.0001,,
0.672,0.0001,,
0.676,0,,
0.68,-0.0001,,
0.684,0,,
0.688,0,,
0.692,0.0001,,
0.696,0.0018,,
0.7,0.0151,,
0.704,0.0517,,
0.708,0.0939,,
0.712,0.1299,,
0.716,0.1712,,
0.72,0.2163,,
0.724,0.2739,,
0.728,0.3551,,
0.732,0.514,,
0.736,0.7172,,
0.74,0.7638,,
0.744,0.7923,,
0.748,0.8273,,
0.752,0.8647,,
0.756,0.9126,,
0.76,0.9443,,
0.764,0.9595,,
0.768,0.9584,,
0.772,0.9525,,
0.776,0.9515,,
0.78,0.9589,,
0.784,0.9743,,
0.788,0.9847,,
0.792,0.9871,,
0.796,0.977,,
0.8,0.963,,
0.804,0.9546,,
0.808,0.9598,,
0.812,0.97,,
0.816,0.9836,,
0.82,0.9948,,
0.824,0.9989,,
0.828,1,,
0.832,0.9963,,
0.836,0.9913,,
0.84,0.9871,,
0.844,0.9844,,
0.848,0.9814,,
0.852,0.9758,,
0.856,0.9713,,
0.86,0.9644,,
0.864,0.9617,,
0.868,0.9613,,
0.872,0.9613,,
0.876,0.9654,,
0.88,0.9698,,
0.884,0.9728,,
0.888,0.9668,,
0.892,0.963,,
0.896,0.9508,,
0.9,0.938,,
0.904,0.9277,,
0.908,0.9252,,
0.912,0.9335,,
0.916,0.9436,,
0.92,0.951,,
0.924,0.9505,,
0.928,0.949,,
0.932,0.941,,
0.936,0.9407,,
0.94,0.9522,,
0.944,0.943,,
0.948,0.9392,,
0.952,0.9237,,
0.956,0.91,,
0.96,0.9001,,
0.964,0.895,,
0.968,0.8938,,
0.972,0.8808,,
0.976,0.8409,,
0.98,0.7821,,
0.984,0.7291,,
0.988,0.7026,,
0.992,0.6366,,
0.996,0.4,,
1,0.1565,,
1.004,0.0547,,
1.008,0.021,,
1.012,0.0092,,
1.016,0.0047,,
1.02,0.0028,,
1.024,0.0019,,
1.028,0.0014,,
1.032,0.001,,
1.036,0.0008,,
1.04,0.0006,,
1.044,0.0005,,
1.048,0.0004,,
1.052,0.0003,,
1.056,0.0002,,
1.06,0.0002,,
1.064,0.0001,,
1.068,0.0001,,
1.072,0.0001,,
